_id,league,time,homeTeam,guestTeam,odd1,oddX,odd2,odd1X,oddX2,oddWinner1,oddWinner2
ObjectId(5f5a0ade863543710f9c0ec9),NBA Play Off,Fri 01:00,Houston,La Lakers,1.42,2.80,1.34,2.40,1.50,13.0,2.95
ObjectId(5f5a0ade863543710f9c0eca),NBA Play Off,Fri 01:00,Houston,La Lakers,1.50,2.95,1.43,2.50,1.60,13.65,3.10
ObjectId(5f5a0ade863543710f9c0ecb),NBA Play Off,Sat 00:30,La Clipers,Denver,3.50,1.28,2.90,1.23,3.70,14.0,1.35
ObjectId(5f5a0ade863543710f9c0ecc),NBA Play Off,Sat 03:00,Toronto,Boston,1.66,2.18,1.54,1.94,1.75,12.5,2.30
ObjectId(5f5a0ade863543710f9c0ecd),Friendly,Thu 20:15,Ada Blois,Rueil,9.50,-,7.30,1.01,10.0,27.0,1.05
ObjectId(5f5a0ade863543710f9c0ece),Friendly,Thu 20:30,Lorient,Nantes,1.19,4.10,1.16,3.50,1.25,17.0,4.40
ObjectId(5f5a0ade863543710f9c0ecf),Italy Supercoppa,Thu 17:00,Brindisi,Sassari,1.47,2.55,1.40,2.28,1.55,14.5,2.70
ObjectId(5f5a0ade863543710f9c0ed0),Italy Supercoppa,Thu 19:00,Milano,Varese,-,-,-,-,-,-,-
ObjectId(5f5a0ade863543710f9c0ed1),Italy Supercoppa,Thu 20:30,Biancoblu Bol.,Reggio Emilia,3.70,1.23,3.10,1.20,3.90,16.0,1.30
ObjectId(5f5a0ade863543710f9c0ed2),Italy Supercoppa,Thu 20:30,Biancoblu Bol.,Reggio Emilia,4.00,1.35,3.35,1.29,4.20,17.15,1.40
ObjectId(5f5a0ade863543710f9c0ed3),Italy Supercoppa,Thu 20:30,Brescia,Cantu,3.70,1.23,3.10,1.20,3.90,16.0,1.30
ObjectId(5f5a0ade863543710f9c0ed4),Italy Supercoppa,Thu 20:30,Brescia,Cantu,4.00,1.35,3.35,1.29,4.20,17.15,1.40
ObjectId(5f5a0ade863543710f9c0ed5),Italy Supercoppa,Thu 21:00,Virtus Roma,Pesaro,-,-,-,-,-,-,-
ObjectId(5f5a0ade863543710f9c0ed6),Italy Supercoppa,Fri 20:30,Trento,Trieste,1.71,2.04,1.60,1.87,1.80,14.5,2.15
ObjectId(5f5a0ade863543710f9c0ed7),Poland Ekstraliga,Thu 17:35,Polpharma,Stal Ostrov,1.02,8.00,1.03,6.30,1.07,25.0,8.50
ObjectId(5f5a0ade863543710f9c0ed8),Poland Ekstraliga,Fri 17:35,Stelmet ZG,Gliwice,4.70,1.14,3.95,1.13,5.00,19.0,1.20
ObjectId(5f5a0ade863543710f9c0ed9),Poland Ekstraliga,Fri 19:30,Rosa Radom,Dabrowa,1.95,1.76,1.79,1.63,2.05,14.0,1.85
ObjectId(5f5a0ade863543710f9c0eda),Poland Ekstraliga,Fri 20:00,Spojnia,Slask,2.55,1.47,2.28,1.40,2.70,14.5,1.55
ObjectId(5f5a0ade863543710f9c0edb),Poland Ekstraliga,Sat 17:35,Anwil,Trefl Sopot,4.10,1.19,3.50,1.16,4.40,17.0,1.25
ObjectId(5f5a0ade863543710f9c0edc),Poland Ekstraliga,Sun 17:35,Bydgoszcz,Szczecin,1.62,2.18,1.52,1.99,1.70,14.5,2.30
ObjectId(5f5a0ade863543710f9c0edd),Poland Ekstraliga,Mon 17:35,Asseco Gdynia,Start Lublin,1.38,2.90,1.32,2.50,1.45,15.0,3.05
ObjectId(5f5a0ade863543710f9c0ede),Spain Supercopa,Sat 18:30,Baskonia,Barcelona,1.28,3.30,1.24,2.85,1.35,16.0,3.50
ObjectId(5f5a0ade863543710f9c0edf),Spain Supercopa,Sat 21:30,Tenerife,Real Madrid,1.28,3.30,1.24,2.85,1.35,16.0,3.50
ObjectId(5f5a0ade863543710f9c0ee0),WNBA,Sun 23:00,Atlanta W,Washington W,1.52,2.42,1.44,2.17,1.60,14.5,2.55
